Opened,Date,Product,Christmas,Chinese NY,Weeknum
29/10/2021 13:05:33,29/10/2021,SP4,NO,NO,44
19/11/2021 14:43:46,19/11/2021,SP4,NO,NO,47
07/01/2022 11:32:08,07/01/2022,SP4,NO,NO,2
17/01/2022 16:19:29,17/01/2022,SP4,NO,NO,4
03/05/2022 22:37:33,03/05/2022,SP4,NO,NO,19
19/01/2022 09:31:24,19/01/2022,SP4,NO,NO,4
01/11/2021 13:06:40,01/11/2021,SP4,NO,NO,45
09/05/2022 15:44:44,09/05/2022,SP4,NO,NO,20
01/03/2022 12:57:21,01/03/2022,SP4,NO,NO,10
11/04/2022 12:39:45,11/04/2022,SP4,NO,NO,16
30/11/2021 05:50:05,30/11/2021,SP4,NO,NO,49
18/11/2021 10:59:38,18/11/2021,SP4,NO,NO,47
10/02/2022 21:00:55,10/02/2022,SP4,NO,NO,7
02/03/2022 09:47:01,02/03/2022,SP4,NO,NO,10
19/01/2022 18:02:34,19/01/2022,SP4,NO,NO,4
24/02/2022 09:28:56,24/02/2022,SP4,NO,NO,9
21/02/2022 13:40:35,21/02/2022,SP4,NO,NO,9
31/01/2022 15:27:09,31/01/2022,SP4,NO,YES,6
22/09/2021 12:38:32,22/09/2021,SP4,NO,NO,39
31/01/2022 16:20:21,31/01/2022,SP4,NO,YES,6
18/08/2021 14:12:14,18/08/2021,SP4,NO,NO,34
16/09/2021 12:35:06,16/09/2021,SP4,NO,NO,38
16/09/2021 14:28:06,16/09/2021,SP4,NO,NO,38
14/10/2021 09:31:28,14/10/2021,SP4,NO,NO,42
19/11/2021 14:34:10,19/11/2021,SP4,NO,NO,47
03/01/2022 18:08:33,03/01/2022,SP4,YES,NO,2
29/03/2022 16:54:13,29/03/2022,SP4,NO,NO,14
30/03/2022 06:41:02,30/03/2022,SP4,NO,NO,14
22/09/2021 02:25:45,22/09/2021,SP4,NO,NO,39
15/02/2022 04:15:42,15/02/2022,SP4,NO,NO,8
30/11/2021 05:45:27,30/11/2021,SP4,NO,NO,49
30/11/2021 06:09:55,30/11/2021,SP4,NO,NO,49
25/01/2022 16:31:56,25/01/2022,SP4,NO,NO,5
02/12/2021 11:36:03,02/12/2021,SP4,NO,NO,49
